City Name,State,Population,lat,lng
Tucson,Arizona,5542,32.1541,-110.8787
Tucson,Arizona,327,32.1541,-110.8787
Hayden,Arizona,60,32.9995,-110.7814
Phoenix,Arizona,62055,33.5722,-112.0892
Arizona City,Arizona,375,32.7506,-111.6707
Phoenix,Arizona,113516,33.5722,-112.0892
Phoenix,Arizona,645,33.5722,-112.0892
Phoenix,Arizona,926,33.5722,-112.0892
San Tan Valley,Arizona,28,33.1786,-111.5629
Maricopa,Arizona,928,33.0408,-112.0011
Phoenix,Arizona,470,33.5722,-112.0892
Apache Junction,Arizona,15610,33.3985,-111.535
Picacho,Arizona,340,32.709,-111.4909
Payson,Arizona,613,34.2433,-111.3195
Coolidge,Arizona,1001,32.9363,-111.5254
Picacho,Arizona,200,32.709,-111.4909
Stanfield,Arizona,200,32.8794,-111.9636
Maricopa,Arizona,450,33.0408,-112.0011
Maricopa,Arizona,530,33.0408,-112.0011
Maricopa,Arizona,2231,33.0408,-112.0011
San Tan Valley,Arizona,600,33.1786,-111.5629
Eloy,Arizona,8852,32.747,-111.5992
Florence,Arizona,532,33.059,-111.4209
Phoenix,Arizona,50790,33.5722,-112.0892
Apache Junction,Arizona,48,33.3985,-111.535
Maricopa,Arizona,60,33.0408,-112.0011
Marana,Arizona,48,32.4355,-111.1558
Kearny,Arizona,38,33.0564,-110.9074
Sierra Vista,Arizona,188,31.563,-110.3153
Maricopa,Arizona,100,33.0408,-112.0011
Coolidge,Arizona,200,32.9363,-111.5254
Kearny,Arizona,36,33.0564,-110.9074
Crystal River,Arizona,200,,
Maricopa,Arizona,405,33.0408,-112.0011
Maricopa,Arizona,100,33.0408,-112.0011
Phoenix,Arizona,6577,33.5722,-112.0892
Phoenix,Arizona,40,33.5722,-112.0892
Maricopa,Arizona,150,33.0408,-112.0011
El Mirage,Arizona,2312,33.5905,-112.3271
Nogales,Arizona,22000,31.3624,-110.9336
Tucson,Arizona,1950,32.1541,-110.8787
Sierra Vista,Arizona,17960,31.563,-110.3153
Tucson,Arizona,74,32.1541,-110.8787
Sierra Vista,Arizona,927,31.563,-110.3153
Tubac,Arizona,75,31.6111,-111.0586
Nogales,Arizona,430,31.3624,-110.9336
Paulden,Arizona,1743,34.8897,-112.4937
Ash Fork,Arizona,2250,35.2171,-112.4913
Glendale,Arizona,730,33.5791,-112.2311
Bagdad,Arizona,3200,34.5771,-113.1771
Sedona,Arizona,7360,34.8581,-111.7941
Dewey,Arizona,40,34.5297551,-112.2421149
Tucson,Arizona,795,32.1541,-110.8787
Clarkdale,Arizona,4920,34.7501,-112.0555
Cottonwood,Arizona,11004,34.7195,-112.0016
Kingman,Arizona,150,35.217,-114.0105
St. Louis,Arizona,169,,
Mayer,Arizona,1400,34.4233,-112.2408
Sedona,Arizona,1507,34.8581,-111.7941
Camp Verde,Arizona,650,34.569,-111.856
Prescott,Arizona,602,34.5849,-112.4473
Prescott,Arizona,42217,34.5849,-112.4473
Phoenix,Arizona,3403,33.5722,-112.0892
Prescott Valley,Arizona,56472,34.598,-112.3185
Prescott,Arizona,2437,34.5849,-112.4473
Mayer,Arizona,741,34.4233,-112.2408
Phoenix,Arizona,138,33.5722,-112.0892
Camp Verde,Arizona,875,34.569,-111.856
Cottonwood,Arizona,784,34.7195,-112.0016
Mayer,Arizona,1097,34.4233,-112.2408
Camp Verde,Arizona,380,34.569,-111.856
Rimrock,Arizona,435,34.6450394,-111.7848411
Camp Verde,Arizona,145,34.569,-111.856
Sedona,Arizona,50,34.8581,-111.7941
Sedona,Arizona,239,34.8581,-111.7941
Phoenix,Arizona,243,33.5722,-112.0892
Camp Verde,Arizona,1810,34.569,-111.856
