City Name,State,lat,lng
Cottonwood,Arizona,34.7195,-112.0016
Kingman,Arizona,35.217,-114.0105
St. Louis,Arizona,,
Mayer,Arizona,34.4233,-112.2408
Sedona,Arizona,34.8581,-111.7941
Camp Verde,Arizona,34.569,-111.856
Prescott,Arizona,34.5849,-112.4473
Prescott,Arizona,34.5849,-112.4473
Phoenix,Arizona,33.5722,-112.0892
Prescott Valley,Arizona,34.598,-112.3185
Prescott,Arizona,34.5849,-112.4473
Mayer,Arizona,34.4233,-112.2408
Phoenix,Arizona,33.5722,-112.0892
Camp Verde,Arizona,34.569,-111.856
Cottonwood,Arizona,34.7195,-112.0016
Mayer,Arizona,34.4233,-112.2408
Camp Verde,Arizona,34.569,-111.856
Rimrock,Arizona,34.6450394,-111.7848411
Camp Verde,Arizona,34.569,-111.856
Sedona,Arizona,34.8581,-111.7941
Sedona,Arizona,34.8581,-111.7941
Phoenix,Arizona,33.5722,-112.0892
Camp Verde,Arizona,34.569,-111.856
Rimrock,Arizona,34.6450394,-111.7848411
Cottonwood,Arizona,34.7195,-112.0016
Sedona,Arizona,34.8581,-111.7941
Cottonwood,Arizona,34.7195,-112.0016
Cottonwood,Arizona,34.7195,-112.0016
Cottonwood,Arizona,34.7195,-112.0016
Phoenix,Arizona,33.5722,-112.0892
Sedona,Arizona,34.8581,-111.7941
Dewey,Arizona,34.5297551,-112.2421149
Crown King,Arizona,34.2055857,-112.3384991
Phoenix,Arizona,33.5722,-112.0892
Cottonwood,Arizona,34.7195,-112.0016
Clarkdale,Arizona,34.7501,-112.0555
Bagdad,Arizona,34.5771,-113.1771
Cottonwood,Arizona,34.7195,-112.0016
Cottonwood,Arizona,34.7195,-112.0016
Cottonwood,Arizona,34.7195,-112.0016
Camp Verde,Arizona,34.569,-111.856
Tucson,Arizona,32.1541,-110.8787
Mayer,Arizona,34.4233,-112.2408
Tucson,Arizona,32.1541,-110.8787
Chino Valley,Arizona,34.7594,-112.412
Prescott Valley,Arizona,34.598,-112.3185
Clarkdale,Arizona,34.7501,-112.0555
Phoenix,Arizona,33.5722,-112.0892
Cornville,Arizona,34.7389,-111.9086
Prescott,Arizona,34.5849,-112.4473
Chino Valley,Arizona,34.7594,-112.412
Camp Verde,Arizona,34.569,-111.856
Fort Worth,Arizona,33.35483145,-111.8324448815888
Flagstaff,Arizona,35.1872,-111.6194
Rimrock,Arizona,34.6450394,-111.7848411
Cottonwood,Arizona,34.7195,-112.0016
Chino Valley,Arizona,34.7594,-112.412
Scottsdale,Arizona,33.6872,-111.8651
Cottonwood,Arizona,34.7195,-112.0016
Paulden,Arizona,34.8897,-112.4937
Camp Verde,Arizona,34.569,-111.856
Chino Valley,Arizona,34.7594,-112.412
Dateland,Arizona,32.8209,-113.5418
Yuma,Arizona,32.5995,-114.5491
San Luis,Arizona,32.4911,-114.7089
Yuma,Arizona,32.5995,-114.5491
Yuma,Arizona,32.5995,-114.5491
Wellton,Arizona,32.6401,-114.2152
Dateland,Arizona,32.8209,-113.5418
Roll,Arizona,32.7517127,-113.9890993
St. Louis,Arizona,,
Yuma,Arizona,32.5995,-114.5491
St. Louis,Arizona,,
Yuma,Arizona,32.5995,-114.5491
Yuma,Arizona,32.5995,-114.5491
Yuma,Arizona,32.5995,-114.5491
St. Louis,Arizona,,
Parker,Arizona,34.0286,-114.2224
Rancho Cucamonga,Arizona,,
Yuma,Arizona,32.5995,-114.5491
Yuma,Arizona,32.5995,-114.5491
Yuma,Arizona,32.5995,-114.5491
St. Louis,Arizona,,
Wenden,Arizona,33.8324,-113.5432
Phoenix,Arizona,33.5722,-112.0892
St. Louis,Arizona,,
Bouse,Arizona,33.8984,-113.9962
Bouse,Arizona,33.8984,-113.9962
